Satellite,Timestamp (UTC),Doppler Shift (Hz)
STARLINK-3162,2025-07-13T03:09:44Z,104280.5433
STARLINK-3162,2025-07-13T03:09:45Z,102273.7354
STARLINK-3162,2025-07-13T03:09:46Z,100245.8913
STARLINK-3162,2025-07-13T03:09:47Z,98197.14375
STARLINK-3162,2025-07-13T03:09:48Z,96127.64243
STARLINK-3162,2025-07-13T03:09:49Z,94037.55412
STARLINK-3162,2025-07-13T03:09:50Z,91927.06314
STARLINK-3162,2025-07-13T03:09:51Z,89796.37159
STARLINK-3162,2025-07-13T03:09:52Z,87645.69961
STARLINK-3162,2025-07-13T03:09:53Z,85475.28564
STARLINK-3162,2025-07-13T03:09:54Z,83285.38661
STARLINK-3162,2025-07-13T03:09:55Z,81076.27812
STARLINK-3162,2025-07-13T03:09:56Z,78848.2546
STARLINK-3162,2025-07-13T03:09:57Z,76601.62942
STARLINK-3162,2025-07-13T03:09:58Z,74336.73492
STARLINK-3162,2025-07-13T03:09:59Z,72053.92252
STARLINK-3162,2025-07-13T03:10:00Z,69753.56267
STARLINK-3880,2025-07-13T03:09:00Z,-172922.9143
STARLINK-3880,2025-07-13T03:09:01Z,-174376.3614
STARLINK-3880,2025-07-13T03:09:02Z,-175802.0248
STARLINK-3880,2025-07-13T03:09:03Z,-177200.3832
STARLINK-3880,2025-07-13T03:09:04Z,-178571.9141
STARLINK-3880,2025-07-13T03:09:05Z,-179917.0931
STARLINK-3880,2025-07-13T03:09:06Z,-181236.3935
STARLINK-3880,2025-07-13T03:09:07Z,-182530.2857
STARLINK-3880,2025-07-13T03:09:08Z,-183799.2368
STARLINK-3880,2025-07-13T03:09:09Z,-185043.7103
STARLINK-3880,2025-07-13T03:09:10Z,-186264.1655
STARLINK-3880,2025-07-13T03:09:11Z,-187461.0574
STARLINK-3880,2025-07-13T03:09:12Z,-188634.8362
STARLINK-3880,2025-07-13T03:09:13Z,-189785.9471
STARLINK-3880,2025-07-13T03:09:14Z,-190914.8302
STARLINK-3880,2025-07-13T03:09:15Z,-192021.9198
STARLINK-3880,2025-07-13T03:09:16Z,-193107.6448
STARLINK-3880,2025-07-13T03:09:17Z,-194172.4282
STARLINK-3927,2025-07-13T03:09:00Z,152393.0229
STARLINK-3927,2025-07-13T03:09:01Z,150533.4678
STARLINK-3927,2025-07-13T03:09:02Z,148639.9564
STARLINK-3927,2025-07-13T03:09:03Z,146712.1051
STARLINK-3927,2025-07-13T03:09:04Z,144749.5454
STARLINK-3927,2025-07-13T03:09:05Z,142751.9252
STARLINK-3927,2025-07-13T03:09:06Z,140718.9108
